folder,expected_keyword,found,matching_files
Tables,Table_3,False,
Tables,Table_4,False,
Tables,Table_5,False,
Tables,Table6,False,
Figures,Figure4,False,
Figures,Figure_4,False,
Figures,Figure5,False,
Figures,Figure_5,False,
Figures,Figure6,False,
Figures,Figure_6,False,
Figures,Figure8,False,
Figures,Figure_8,False,
Figures,Figure9,False,
Figures,Figure_9,False,
Supplementary,S4,False,
Supplementary,S5,False,
Supplementary,S6,False,
Supplementary,S7,False,
Supplementary,S8,False,
Supplementary,S9,False,
Supplementary,S10,False,
Supplementary,Manifest,False,
Supplementary,Audit,False,
