feature,source_group,season_or_orbit,feature_family
DEM_aspect,DEM/topography,static_or_annual,topographic
DEM_elevation,DEM/topography,static_or_annual,topographic
DEM_hillshade,DEM/topography,static_or_annual,topographic
DEM_slope,DEM/topography,static_or_annual,topographic
L89_dry_Blue,Landsat 8/9 optical,dry,spectral_band_or_percentile
L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
L89_dry_NIR,Landsat 8/9 optical,dry,spectral_band_or_percentile
L89_dry_Red,Landsat 8/9 optical,dry,spectral_band_or_percentile
L89_dry_SWIR1,Landsat 8/9 optical,dry,spectral_band_or_percentile
L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile
L89_dry_SWIR2_p75,Landsat 8/9 optical,dry,spectral_band_or_percentile
L89_dry_BSI,Landsat 8/9 optical,dry,spectral_index
L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
L89_dry_NBR,Landsat 8/9 optical,dry,spectral_index
L89_dry_NBR2,Landsat 8/9 optical,dry,spectral_index
L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
L89_wet_Blue,Landsat 8/9 optical,wet,spectral_band_or_percentile
L89_wet_Green,Landsat 8/9 optical,wet,spectral_band_or_percentile
L89_wet_NIR,Landsat 8/9 optical,wet,spectral_band_or_percentile
L89_wet_Red,Landsat 8/9 optical,wet,spectral_band_or_percentile
L89_wet_SWIR1,Landsat 8/9 optical,wet,spectral_band_or_percentile
L89_wet_SWIR2,Landsat 8/9 optical,wet,spectral_band_or_percentile
L89_wet_SWIR2_p75,Landsat 8/9 optical,wet,spectral_band_or_percentile
L89_wet_BSI,Landsat 8/9 optical,wet,spectral_index
L89_wet_MSI,Landsat 8/9 optical,wet,spectral_index
L89_wet_NBR,Landsat 8/9 optical,wet,spectral_index
L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
L89_wet_NDMI,Landsat 8/9 optical,wet,spectral_index
L89_wet_NDVI,Landsat 8/9 optical,wet,spectral_index
S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
S1_VVminusVH_asc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
S1_VHdesc_p25,Sentinel-1 SAR,descending,sar_backscatter_metric
S1_VHdesc_p50,Sentinel-1 SAR,descending,sar_backscatter_metric
S1_VHdesc_p75,Sentinel-1 SAR,descending,sar_backscatter_metric
