coord_key_6dp,n,n_classes,classes
107.635913_13.150393,3,1,9
108.11175_12.912519,3,1,3
108.115164_12.915753,3,1,2
108.115433_12.67716,3,1,3
108.142293_12.902188,3,1,1
108.414033_12.763758,3,1,10
107.533595_12.948451,2,1,8
107.552908_13.087421,2,1,8
107.63762_13.179588,2,1,7
107.63762_13.179767,2,1,7
107.643998_13.219832,2,1,7
107.65352_13.226031,2,1,7
107.67993_13.334188,2,1,7
107.693495_13.2528,2,1,7
107.697178_13.339757,2,1,7
107.720444_13.335805,2,1,7
107.745058_13.335266,2,1,7
107.752784_13.328259,2,1,7
107.770211_13.335535,2,1,7
107.93092_12.61293,2,1,10
107.95212_12.409193,2,1,8
108.002156_12.644551,2,1,10
108.021919_12.649222,2,1,10
108.044646_12.907758,2,1,6
108.046173_12.911171,2,1,5
108.055516_12.907039,2,1,6
108.056504_12.907039,2,1,6
108.067463_12.905152,2,1,6
108.068452_12.758547,2,1,2
108.072135_12.759985,2,1,2
108.075009_12.903985,2,1,5
108.075279_12.883593,2,1,4
108.075458_12.87991,2,1,4
108.075458_12.883503,2,1,4
108.075548_12.883683,2,1,4
108.076267_12.86922,2,1,4
108.076806_12.957255,2,1,2
108.077974_12.957434,2,1,2
108.078603_13.06622,2,1,9
108.088304_12.888354,2,1,4
108.088574_12.92258,2,1,2
108.088933_12.922131,2,1,2
108.089023_12.89024,2,1,4
108.089113_12.890061,2,1,4
108.091538_12.910902,2,1,2
108.091538_12.91189,2,1,2
108.091628_12.910902,2,1,2
108.091718_12.871376,2,1,4
108.091808_12.909464,2,1,2
108.092077_12.909375,2,1,2
108.094323_12.915303,2,1,5
108.095581_12.909914,2,1,2
108.09576_12.909914,2,1,2
108.096299_12.88,2,1,7
108.096569_12.89069,2,1,4
108.096749_12.876586,2,1,4
108.098994_12.919436,2,1,4
108.099264_12.910183,2,1,2
108.099443_12.865447,2,1,4
108.102947_12.915842,2,1,4
108.103037_12.915842,2,1,4
108.103935_12.883862,2,1,7
108.105642_12.873981,2,1,4
108.107079_12.91162,2,1,5
108.107169_12.91153,2,1,5
108.108876_12.567116,2,1,4
108.109145_12.864459,2,1,4
108.109864_12.916381,2,1,2
108.110583_12.87425,2,1,4
108.110672_12.87434,2,1,4
108.110852_12.915483,2,1,1
108.111481_12.884042,2,1,5
108.11211_12.913327,2,1,3
108.113008_12.912519,2,1,3
108.113098_12.881796,2,1,5
108.113098_12.919795,2,1,3
108.113188_12.912519,2,1,3
108.114984_12.676891,2,1,3
108.114984_12.67698,2,1,3
108.115164_12.676801,2,1,3
108.115344_12.913417,2,1,3
108.115433_12.67725,2,1,3
108.115613_12.92249,2,1,3
108.116871_12.679675,2,1,2
108.116871_12.912069,2,1,3
108.116961_12.913507,2,1,3
108.117679_12.913417,2,1,3
108.117769_12.912069,2,1,3
108.119745_12.914854,2,1,3
108.120195_12.678328,2,1,2
108.120374_12.678957,2,1,3
108.120464_12.91153,2,1,3
108.120644_12.914854,2,1,3
108.12262_12.56002,2,1,4
108.124866_12.678867,2,1,2
108.124866_12.679316,2,1,2
108.126842_12.55445,2,1,4
108.128459_12.677969,2,1,5
108.128549_12.676711,2,1,5
108.129357_12.8747,2,1,4
108.130435_12.884222,2,1,4
108.130884_12.899403,2,1,1
108.132052_12.898685,2,1,1
108.134837_12.56011,2,1,4
108.135017_12.55993,2,1,4
108.137083_12.904524,2,1,3
108.142383_12.90659,2,1,3
108.142473_12.90668,2,1,3
108.147234_12.560289,2,1,4
108.246228_12.835982,2,1,10
108.246408_12.715249,2,1,10
108.247216_12.829424,2,1,10
108.273178_12.800858,2,1,10
108.289976_12.719381,2,1,10
108.292941_12.727466,2,1,10
108.342258_12.961836,2,1,9
108.355643_12.664673,2,1,6
108.404511_12.545647,2,1,7
108.40541_12.541784,2,1,7
108.419603_12.754595,2,1,10
108.504853_13.073766,2,1,8
108.553811_12.948002,2,1,8
108.673377_12.723783,2,1,8
108.674275_12.909105,2,1,9
108.7253_12.922759,2,1,9
