feature,source_group,season_or_orbit,feature_family,n,missing_count,missing_pct,inf_count,zero_count,zero_pct,finite_count,mean,std,min,p01,p25,median,p75,p99,max,all_missing,constant_or_near_constant
DEM_aspect,DEM/topography,static_or_annual,topographic,3000,0,0.0,0,275,9.166666666666666,3000,171.929,106.21597448945984,0.0,0.0,90.0,180.0,263.0,346.0,358.0,False,False
DEM_elevation,DEM/topography,static_or_annual,topographic,3000,0,0.0,0,0,0.0,3000,506.2456666666667,181.7282578497978,147.0,157.0,443.0,531.0,584.0,1163.0199999999995,1824.0,False,False
DEM_hillshade,DEM/topography,static_or_annual,topographic,3000,0,0.0,0,0,0.0,3000,181.85266666666666,15.530379597819655,84.0,132.99,177.0,180.0,189.0,245.00999999999976,255.0,False,False
DEM_slope,DEM/topography,static_or_annual,topographic,3000,0,0.0,0,115,3.8333333333333335,3000,4.883333333333334,5.363268012149459,0.0,0.0,2.0,3.0,5.0,28.0,51.0,False,False
L89_dry_BSI,Landsat 8/9 optical,dry,spectral_index,3000,0,0.0,0,57,1.9,3000,-0.08996855114078668,0.1719500095203671,-0.4462824,-0.4047028025,-0.24182515,-0.09754139,0.067605495,0.22806506,0.41915908,False,False
L89_dry_Blue,Landsat 8/9 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,57,1.9,3000,0.03410830166666667,0.018471884871758097,0.0,0.0,0.0236575,0.027404375,0.037551875,0.09087231249999989,0.1211725,False,False
L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,57,1.9,3000,0.06145398543666667,0.025633160538431374,0.0,0.0,0.0475103125,0.0531925,0.067245,0.1413104749999998,0.180875,False,False
L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index,3000,0,0.0,0,57,1.9,3000,0.7257231558066666,0.3059564309975198,0.0,0.0,0.50645345,0.6621460299999999,0.8913851125,1.4711768939999985,3.129733,False,False
L89_dry_NBR,Landsat 8/9 optical,dry,spectral_index,3000,0,0.0,0,57,1.9,3000,0.38945162986443,0.24325432606760836,-0.2175376,-0.12044084024,0.18568761,0.448756285,0.605391575,0.7495052933999994,0.9040006,False,False
L89_dry_NBR2,Landsat 8/9 optical,dry,spectral_index,3000,0,0.0,0,57,1.9,3000,0.25278979288316666,0.1150518836922681,-0.026307175,0.0,0.14918207,0.27818794999999996,0.344220195,0.4368874901,0.45999792,False,False
L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index,3000,0,0.0,0,57,1.9,3000,0.17514809430967668,0.176387316974143,-0.51523495,-0.1906689422,0.046420798,0.19277997,0.320947155,0.4934842819999992,0.83605987,False,False
L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index,3000,0,0.0,0,57,1.9,3000,0.5567926989030333,0.24473108993596657,-0.1568008,-0.07447490899999999,0.33414924,0.64663078,0.7675001,0.868594451,0.9434884,False,False
L89_dry_NIR,Landsat 8/9 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,57,1.9,3000,0.24437427788,0.07635260402058887,0.0,0.0,0.2042775,0.259889375,0.2960725,0.3781916249999999,0.44449,False,False
L89_dry_Red,Landsat 8/9 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,57,1.9,3000,0.06341530832666666,0.03840416005699704,0.0,0.0,0.0369778125,0.0501675,0.0807475,0.18665742499999982,0.23927125,False,False
L89_dry_SWIR1,Landsat 8/9 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,57,1.9,3000,0.1739086903233333,0.07390187435586656,0.0,0.0,0.1376725,0.16716625,0.197756565,0.3984730223999999,0.5277187,False,False
L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,57,1.9,3000,0.10863082206666669,0.06689706266445399,0.0,0.0,0.0695,0.09211875,0.125455625,0.318485825,0.47522125,False,False
L89_dry_SWIR2_p75,Landsat 8/9 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,57,1.9,3000,0.12258874037333334,0.07178257480321047,0.0,0.0,0.0818475,0.1041775,0.141250945,0.3403615151,0.4969875,False,False
L89_wet_BSI,Landsat 8/9 optical,wet,spectral_index,3000,0,0.0,0,113,3.7666666666666666,3000,-0.12043726509389001,0.16096173716590864,-0.4831705,-0.4076674635,-0.250154675,-0.123487235,0.0,0.21555185,0.49112907,False,False
L89_wet_Blue,Landsat 8/9 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,113,3.7666666666666666,3000,0.036053708749999996,0.020728445852546004,-0.0426175,0.0,0.025616875,0.03144,0.041195625,0.0985675,0.232795,False,False
L89_wet_Green,Landsat 8/9 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,113,3.7666666666666666,3000,0.07193343085,0.029252796589513245,0.0,0.0,0.056685,0.0663375,0.0831125,0.15315884999999993,0.2812775,False,False
L89_wet_MSI,Landsat 8/9 optical,wet,spectral_index,3000,0,0.0,0,113,3.7666666666666666,3000,0.6456120619733333,0.2719112349726016,0.0,0.0,0.469977305,0.610234035,0.77191085,1.3741545589999977,2.5168643,False,False
L89_wet_NBR,Landsat 8/9 optical,wet,spectral_index,3000,0,0.0,0,113,3.7666666666666666,3000,0.42655252889898,0.22042183675591298,-0.22971681,-0.06420751,0.2786005975,0.474694055,0.6002969,0.741103118,0.8110731,False,False
L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index,3000,0,0.0,0,113,3.7666666666666666,3000,0.25788556067813334,0.11313524072553223,-0.012296975,0.0,0.1774955675,0.27433365,0.3381159975,0.4468359700999999,0.5046144,False,False
L89_wet_NDMI,Landsat 8/9 optical,wet,spectral_index,3000,0,0.0,0,113,3.7666666666666666,3000,0.21309997806407668,0.15977975697654093,-0.43131158,-0.1575947112,0.10279286,0.23028716999999999,0.34459489,0.47662818379999994,0.7025819,False,False
L89_wet_NDVI,Landsat 8/9 optical,wet,spectral_index,3000,0,0.0,0,113,3.7666666666666666,3000,0.5665427325422667,0.24705115018122856,-0.1869851,-0.11971637723999999,0.40002989,0.64448987,0.763316525,0.8822667324,0.987405,False,False
L89_wet_NIR,Landsat 8/9 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,113,3.7666666666666666,3000,0.29148053317333333,0.10413428803755104,0.0,0.0,0.2361225,0.31348,0.365021875,0.4750055124999999,0.52265877,False,False
L89_wet_Red,Landsat 8/9 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,113,3.7666666666666666,3000,0.06830871084000001,0.04022037906464171,0.0,0.0,0.0412575,0.058548125000000006,0.0881346875,0.20099757499999954,0.2989875,False,False
L89_wet_SWIR1,Landsat 8/9 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,113,3.7666666666666666,3000,0.18679076036,0.07619772740273774,0.0,0.0,0.1480159375,0.190960625,0.2225925,0.3905055749999987,0.4749325,False,False
L89_wet_SWIR2,Landsat 8/9 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,113,3.7666666666666666,3000,0.11056291456999999,0.06102568900031323,0.0,0.0,0.0718375,0.103510625,0.1305534375,0.3066113249999999,0.40588,False,False
L89_wet_SWIR2_p75,Landsat 8/9 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,113,3.7666666666666666,3000,0.13495733501666665,0.07803013125789068,0.0,0.0,0.0853090625,0.1213925,0.161480625,0.3878125,0.4464975,False,False
S1_VH_glcm_asm_5x5,Sentinel-1 SAR,static_or_annual,texture,3000,0,0.0,0,0,0.0,3000,0.036278868540266664,0.14276215180042698,0.0048928717,0.00500049461,0.005345145,0.0055267045,0.00577716925,0.8594028437999992,1.0,False,False
S1_VH_glcm_contrast_5x5,Sentinel-1 SAR,static_or_annual,texture,3000,0,0.0,0,6,0.2,3000,273.1136376784557,156.90585927265067,0.0,2.651581937,186.6981825,230.8208,318.6309175,856.7357929999977,1704.0309,False,False
S1_VH_glcm_ent_5x5,Sentinel-1 SAR,static_or_annual,texture,3000,0,0.0,0,6,0.2,3000,5.029879283962667,0.8710447852166587,0.0,0.42044636030000004,5.21150765,5.2418275,5.26555365,5.312269457,5.3281713,False,False
S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-16.660601981903667,4.127725284746646,-32.69835,-29.2211845,-17.922369,-15.977007,-14.72420925,-6.639099109000015,8.367164,False,False
S1_VHdesc_p25,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-19.331964376101997,5.817328940120991,-48.381844,-42.48372134,-21.140147,-17.950392,-15.87034,-10.285691695,1.6417496,False,False
S1_VHdesc_p50,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-16.584885540966667,4.319221422620961,-48.101017,-30.94457863,-17.8923525,-15.6674605,-14.084328125,-8.698346140000046,2.026512,False,False
S1_VHdesc_p75,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-14.441173071466668,3.755002634131172,-33.166954,-26.970682,-15.64901725,-13.777574999999999,-12.3425535,-7.084194703000004,2.0741735,False,False
S1_VHdesc_std,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,2.094256741885,1.596588271730383,0.015269275,0.20805399730000002,1.05587935,1.70975805,2.6354332,8.554667649999988,13.493084,False,False
S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-9.562066648855668,4.156376912596246,-23.629711,-20.92685686,-10.6053825,-9.402175,-8.28031675,3.8288004839999568,19.036789,False,False
