class_id,class_name,validation_samples,users_accuracy,producers_accuracy,f1_score,users_accuracy_percent,producers_accuracy_percent,f1_percent
1,Sun coffee,90,0.9230769230769231,0.8,0.8571428571428571,92.3076923076923,80.0,85.71428571428571
2,Intercrop coffee,90,0.84,0.9333333333333333,0.8842105263157894,84.0,93.33333333333333,88.42105263157895
3,Newly planted coffee,90,0.9565217391304348,0.9777777777777777,0.967032967032967,95.65217391304348,97.77777777777777,96.7032967032967
4,Rubber,90,0.9879518072289156,0.9111111111111111,0.9479768786127168,98.79518072289156,91.11111111111111,94.79768786127168
5,Partially vegetative,90,0.925531914893617,0.9666666666666667,0.9456521739130436,92.5531914893617,96.66666666666667,94.56521739130436
6,Rice,90,1.0,0.9111111111111111,0.9534883720930233,100.0,91.11111111111111,95.34883720930233
7,Other upland crops,90,0.9340659340659341,0.9444444444444444,0.9392265193370165,93.4065934065934,94.44444444444444,93.92265193370164
8,Forest,90,0.9072164948453608,0.9777777777777777,0.9411764705882353,90.72164948453609,97.77777777777777,94.11764705882352
9,Water,90,0.9666666666666667,0.9666666666666667,0.9666666666666667,96.66666666666667,96.66666666666667,96.66666666666667
10,Built,90,0.9354838709677419,0.9666666666666667,0.9508196721311476,93.54838709677419,96.66666666666667,95.08196721311477
