DEM_elevation,S2_dry_CVI,S2_dry_MNDWI,L89_dry_SWIR1,L89_dry_NIR,S2_dry_B2,S1_VHasc_p50,L89_dry_Green,S2_wet_B12,L89_dry_MSI,S2_dry_B5,L89_wet_NBR2,S2_dry_NDI,S2_dry_NDMI,S2_wet_NBR2,S2_wet_B8,L89_wet_MSI,S2_wet_NDMI,L89_wet_NIR,L89_wet_Green,L89_wet_NDMI,S2_dry_NBR2,S2_wet_CVI,L89_dry_BSI,L89_wet_SWIR2
631.0,3.8520017,-0.46865892,0.151065,0.1627525,0.04255,-19.345966,0.06015,0.1447,1.008211,0.1251,0.16661017,-0.26948538,-0.08987566,0.08620145,0.1526,0.89767855,-0.059765864,0.2073575,0.09623,0.054334868,0.08156722,3.5163584,0.14911337,0.13121
531.0,4.470438,-0.53416413,0.1807375,0.1812875,0.0398,-16.842844,0.060865,0.1398,0.95465827,0.1169,0.21198311,-0.23432346,-0.059554636,0.23017621,0.2706,0.76770157,0.05338985,0.3302825,0.0822325,0.1314127,0.11796114,3.413876,0.09499081,0.1212
588.0,4.06689,-0.42430857,0.1227125,0.1604975,0.037,-17.583067,0.04904,0.1295,0.8205407,0.11275,0.2404522,-0.2371625,-0.026606463,0.1535598,0.2666,0.62490904,0.10729458,0.3470025,0.0867425,0.23083812,0.106346026,2.8989635,0.05483435,0.1187525
596.0,3.5775213,-0.37521222,0.1383875,0.15369125,0.0401,-17.885849,0.05427875,0.1267,0.85293204,0.11795,0.17751552,-0.25144473,-0.023013152,0.18601964,0.267,0.7249316,0.13063727,0.253585,0.06624125,0.17091785,0.048621867,2.7170854,0.09127008,0.1154525
595.0,3.5595787,-0.35898846,0.125325,0.15611126,0.0417,-19.567114,0.05311,0.1271,0.819995,0.1185,0.12743692,-0.21679285,-0.01770275,0.16544844,0.2134,0.7111684,0.04975973,0.18735126,0.0441725,0.16915542,0.0794425,2.6814067,0.07915136,0.1009875
552.0,4.286635,-0.5473019,0.185165,0.19039,0.0427,-16.15419,0.0566575,0.1159,0.9854067,0.11735,0.2401481,-0.20635387,-0.114373244,0.2025862,0.2586,0.6522241,0.09576269,0.2664,0.0747525,0.21048954,0.13145645,4.4586806,0.061330624,0.1251875
595.0,3.5741892,-0.35060835,0.1149025,0.1345925,0.0392,-18.528452,0.0498375,0.1258,0.8368315,0.1147,0.14146854,-0.24063976,-0.00912428,0.16189209,0.2316,0.6872082,0.052009992,0.16718,0.05403125,0.1985325,0.037288852,2.6288044,0.09612846,0.08648125
583.0,3.6819496,-0.39060518,0.11002125,0.11867,0.0394,-20.011917,0.04798125,0.1185,0.9323501,0.1149,0.21693036,-0.27116567,-0.042687185,0.110206045,0.1556,0.77191085,-0.04487037,0.3163675,0.0849275,0.12872496,0.028411368,3.0646744,0.14067511,0.1208975
587.0,4.1338606,-0.45245263,0.1306875,0.1591225,0.03625,-17.387375,0.0500025,0.15509999,0.8487895,0.1159,0.08929416,-0.2121145,-0.021582225,0.121092945,0.2236,0.8702326,0.05276261,0.18852,0.06972,0.06938572,0.119882956,2.7028787,0.07718346,0.1446025
568.0,5.3463206,-0.6184847,0.19070625,0.32317376,0.0328,-14.763034,0.0472525,0.1117,0.547812,0.0985,0.3655091,0.12573442,0.2281317,0.34930697,0.4034,0.53262013,0.26973695,0.39206126,0.05856875,0.3052971,0.32713345,4.668816,-0.23923734,0.09324625
546.0,4.095929,-0.58769476,0.167235,0.2774,0.0336,-14.109853,0.045135,0.0976,0.59998995,0.0923,0.42869493,0.14379801,0.19295338,0.38651025,0.3976,0.46969426,0.2881905,0.4003525,0.0539625,0.36082724,0.32410532,3.1893473,-0.1930353,0.0729375
500.0,5.211821,-0.57715064,0.2231425,0.2757225,0.0472,-15.545724,0.0590225,0.1415,0.7877349,0.14005,0.32548597,-0.09741845,0.058109295,0.19203152,0.2843,0.5104302,0.04532594,0.3190625,0.08358,0.32412606,0.23747852,3.661345,-0.041423738,0.1144625
553.0,4.403128,-0.623228,0.1488925,0.2943125,0.02905,-14.976689,0.04376,0.09075,0.5128955,0.08005,0.41845682,0.25332665,0.2717046,0.39236972,0.41500002,0.4222923,0.31548116,0.4343425,0.0654575,0.4061807,0.37879664,3.0663729,-0.27653065,0.079015
569.0,5.619147,-0.6008677,0.1776575,0.28477,0.0347,-14.803503,0.0478025,0.11405,0.5842058,0.1039,0.3394123,-0.016025644,0.19699082,0.32988802,0.3346,0.53944343,0.20124418,0.3769775,0.05796375,0.30002233,0.29747018,4.5522184,-0.20220332,0.09379625
533.0,4.4330325,-0.62516385,0.1752375,0.35061875,0.0379,-16.31448,0.0460975,0.087400004,0.50645345,0.0892,0.40828997,0.18512528,0.29479137,0.4136059,0.4397,0.42900062,0.33755854,0.4291175,0.0584725,0.39957952,0.368629,3.5606384,-0.2846518,0.075605
535.0,4.0413227,-0.5848889,0.150515,0.3117475,0.0291,-14.845516,0.0464275,0.0845,0.49916676,0.0979,0.45049414,0.22570018,0.28983018,0.3983624,0.4044,0.41364053,0.3426501,0.42491,0.064605,0.41478682,0.37357536,3.8646762,-0.2823755,0.066585
