,precision,recall,f1-score,support
Sun coffee,0.9230769230769231,0.8,0.8571428571428571,90.0
Intercrop coffee,0.84,0.9333333333333333,0.8842105263157894,90.0
Newly planted coffee,0.9565217391304348,0.9777777777777777,0.967032967032967,90.0
Rubber,0.9879518072289156,0.9111111111111111,0.9479768786127167,90.0
Partially vegetative,0.925531914893617,0.9666666666666667,0.9456521739130435,90.0
Rice,1.0,0.9111111111111111,0.9534883720930233,90.0
Other upland crops,0.9340659340659341,0.9444444444444444,0.9392265193370166,90.0
Forest,0.9072164948453608,0.9777777777777777,0.9411764705882353,90.0
Water,0.9666666666666667,0.9666666666666667,0.9666666666666667,90.0
Built,0.9354838709677419,0.9666666666666667,0.9508196721311475,90.0
accuracy,0.9355555555555556,0.9355555555555556,0.9355555555555556,0.9355555555555556
macro avg,0.9376515350875595,0.9355555555555556,0.9353393103833463,900.0
weighted avg,0.9376515350875593,0.9355555555555556,0.9353393103833464,900.0
