true_class,block_size_km,fold,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,10,1,87,7,11,0,2,0,0,0,0,0
true_2,10,1,77,47,0,0,6,0,0,0,0,0
true_3,10,1,0,0,181,0,0,0,0,0,0,26
true_4,10,1,33,6,0,119,15,0,0,33,0,0
true_5,10,1,61,2,24,1,77,0,0,2,0,0
true_6,10,1,0,0,0,0,0,58,0,0,0,0
true_7,10,1,22,0,5,3,7,7,0,16,0,22
true_8,10,1,0,0,0,1,0,2,5,52,0,0
true_9,10,1,0,0,0,0,0,2,0,0,55,1
true_10,10,1,0,0,0,0,0,0,1,0,2,69
true_1,10,2,44,25,0,1,20,0,0,0,0,0
true_2,10,2,33,32,0,1,0,0,1,9,0,0
true_3,10,2,37,0,4,0,25,0,0,0,0,0
true_4,10,2,0,0,0,15,0,0,0,0,0,0
true_5,10,2,4,38,0,2,21,0,0,0,0,0
true_6,10,2,0,0,0,0,0,57,0,0,0,0
true_7,10,2,0,0,0,0,0,3,35,0,0,12
true_8,10,2,2,1,0,0,1,0,8,48,0,0
true_9,10,2,0,0,0,0,0,0,0,0,61,0
true_10,10,2,0,0,0,0,1,0,0,0,2,58
true_1,10,3,38,0,0,0,4,0,0,0,0,0
true_2,10,3,0,0,0,0,0,0,0,0,0,0
true_3,10,3,0,0,0,0,0,0,0,0,0,0
true_4,10,3,0,0,0,8,0,0,0,0,0,0
true_5,10,3,0,0,0,0,0,0,0,0,0,0
true_6,10,3,0,0,0,0,0,82,16,1,0,5
true_7,10,3,0,0,0,0,0,0,51,0,0,0
true_8,10,3,0,0,0,1,0,0,0,59,0,0
true_9,10,3,0,0,0,0,1,11,0,7,39,1
true_10,10,3,0,0,0,0,0,0,0,0,0,42
true_1,10,4,8,23,2,0,3,0,0,5,0,0
true_2,10,4,10,36,0,0,4,0,0,0,0,0
true_3,10,4,0,0,12,0,15,0,0,0,0,0
true_4,10,4,3,1,0,28,1,0,2,6,0,0
true_5,10,4,1,0,0,0,50,0,0,0,0,0
true_6,10,4,0,0,0,0,0,35,0,0,0,0
true_7,10,4,0,0,0,0,1,0,49,6,0,1
true_8,10,4,0,1,0,0,0,0,0,59,0,0
true_9,10,4,0,0,0,0,0,0,1,0,60,0
true_10,10,4,0,0,0,0,0,0,1,0,0,63
true_1,10,5,4,14,0,1,1,0,0,0,0,0
true_2,10,5,25,19,0,0,0,0,0,0,0,0
true_3,10,5,0,0,0,0,0,0,0,0,0,0
true_4,10,5,0,0,0,30,0,0,0,0,0,0
true_5,10,5,0,0,0,0,4,4,0,9,0,0
true_6,10,5,0,0,0,0,0,46,0,0,0,0
true_7,10,5,0,0,0,0,0,0,60,0,0,0
true_8,10,5,4,0,0,4,0,0,0,52,0,0
true_9,10,5,0,0,0,0,0,0,0,0,61,0
true_10,10,5,1,0,0,0,0,0,0,0,0,60
true_1,15,1,2,18,0,0,0,0,0,0,0,0
true_2,15,1,0,3,0,0,0,0,0,0,0,0
true_3,15,1,0,0,0,0,0,0,0,0,0,0
true_4,15,1,0,0,0,52,0,0,0,1,0,0
true_5,15,1,0,0,0,0,0,0,0,0,0,0
