district_name_en,district_name,district_key,district_name_raw
BuonDon,Buôn Đôn,bondon,Buôn Đôn
BuonHo,Buôn Hồ,buonho,Thị Xã Buôn Hồ
BuonMaThuot,Buôn Ma Thuột,buonmathuot,Buôn Ma Thuột
CuKuin,Cư Kuin,cukuin,Cư Kuin
CuMgar,Cư M'Gar,cumgar,Cư M'gar
EaHleo,Ea H'leo,eahleo,Ea H'leo
EaKar,Ea Kar,eakar,Ea Kar
EaSup,Ea Súp,easup,Ea Súp
KrongAna,Krông Ana,krongana,Krông A Na
KrongBong,Krông Bông,krongbong,Krông Bông
KrongBuk,Krông Búk,krongbuk,Krông Búk
KrongNang,Krông Năng,krongnang,Krông Năng
KrongPac,Krông Pắc,krongpac,Krông Pắc
Lak,Lăk,lak,Lắk
Mdrak,M'Đrắk,mdrak,M'Đrắk
