block_size_km,fold,feature,ranking_importance,rank,selected,source_group,season_or_orbit,feature_family
10,1,DEM_elevation,0.021579660847048154,1,True,DEM/topography,static_or_annual,topographic
10,1,S2_wet_NBR2,0.019817155891310924,2,True,Sentinel-2 optical,wet,spectral_index
10,1,L89_dry_NIR,0.019217040139203976,3,True,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,S2_dry_CVI,0.019190807373060625,4,True,Sentinel-2 optical,dry,spectral_index
10,1,S2_dry_B12,0.018739572959810682,5,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,S2_dry_MNDWI,0.018569332581283775,6,True,Sentinel-2 optical,dry,spectral_index
10,1,L89_dry_SWIR1,0.01733637191213221,7,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,S2_dry_NBR2,0.01700398268993792,8,True,Sentinel-2 optical,dry,spectral_index
10,1,S2_dry_B11,0.016861161772137423,9,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,S1_VHasc_p50,0.01612492005198391,10,True,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,1,S2_dry_GNDVI,0.015986116025397807,11,True,Sentinel-2 optical,dry,spectral_index
10,1,L89_dry_Green,0.01595510550471807,12,True,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,S2_dry_B7,0.015675787443611058,13,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,L89_dry_SWIR2,0.015600260657913846,14,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,L89_dry_NBR2,0.015424152628019524,15,False,Landsat 8/9 optical,dry,spectral_index
10,1,L89_dry_NBR,0.015250027542112502,16,False,Landsat 8/9 optical,dry,spectral_index
10,1,S2_dry_NDWI,0.014615531143545104,17,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_dry_B2,0.014193503609606837,18,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,S2_dry_B6,0.014101781505410391,19,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,L89_dry_Blue,0.013754231343730272,20,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,S2_dry_B8,0.013727068470651228,21,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,L89_wet_NBR2,0.013542178911675242,22,True,Landsat 8/9 optical,wet,spectral_index
10,1,L89_dry_SWIR2_p75,0.013513021853978452,23,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,L89_dry_NDVI,0.01344163141844134,24,True,Landsat 8/9 optical,dry,spectral_index
10,1,S2_dry_MSR,0.01308197814858421,25,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_dry_B5,0.012945641700324051,26,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,S2_dry_NDVI,0.012895745988933975,27,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_dry_B3,0.012497291335720556,28,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,S2_wet_GNDVI,0.012398541967227408,29,False,Sentinel-2 optical,wet,spectral_index
10,1,L89_dry_NDMI,0.01226730599846209,30,True,Landsat 8/9 optical,dry,spectral_index
10,1,S2_wet_RDVI,0.01181704397755477,31,True,Sentinel-2 optical,wet,spectral_index
10,1,L89_dry_BSI,0.011738394999262165,32,False,Landsat 8/9 optical,dry,spectral_index
10,1,L89_wet_NBR,0.011553295454593285,33,False,Landsat 8/9 optical,wet,spectral_index
10,1,S2_wet_B11,0.01131395777445242,34,True,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,S2_wet_B12,0.011273398699119473,35,True,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,S2_wet_NBR,0.0112299945573645,36,False,Sentinel-2 optical,wet,spectral_index
10,1,L89_dry_MSI,0.011225174284162493,37,True,Landsat 8/9 optical,dry,spectral_index
10,1,S2_wet_NDWI,0.011166663369031413,38,False,Sentinel-2 optical,wet,spectral_index
10,1,S2_wet_NDVI,0.01108771664381901,39,False,Sentinel-2 optical,wet,spectral_index
10,1,S2_dry_NDI,0.01100307427062029,40,True,Sentinel-2 optical,dry,spectral_index
10,1,L89_dry_Red,0.010947763828683814,41,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,S1_VVasc_p50,0.010817333900449899,42,True,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,1,S2_dry_B4,0.010750898608199123,43,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,S2_dry_SR,0.010720137812382454,44,True,Sentinel-2 optical,dry,spectral_index
10,1,S2_wet_MTCI,0.010709688917994226,45,True,Sentinel-2 optical,wet,spectral_index
10,1,S2_dry_CI_RE,0.010669398598156932,46,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_dry_RDVI,0.01060966158844513,47,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_dry_NLI,0.010334035639559931,48,False,Sentinel-2 optical,dry,spectral_index
10,1,L89_wet_SWIR2,0.010241361179528792,49,True,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,1,S2_wet_CI_RE,0.009981802136466203,50,False,Sentinel-2 optical,wet,spectral_index
10,1,S2_wet_MNDWI,0.00986732239326389,51,False,Sentinel-2 optical,wet,spectral_index
10,1,S2_wet_CVI,0.009734249070637383,52,True,Sentinel-2 optical,wet,spectral_index
10,1,S2_dry_NDVI_RE,0.009681909675785581,53,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_wet_B7,0.009644785032713304,54,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,S2_dry_NDMI,0.009544977047763595,55,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_wet_NDVI_RE,0.009484867891934909,56,False,Sentinel-2 optical,wet,spectral_index
10,1,L89_wet_SWIR1,0.009401892100534269,57,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,1,S2_dry_NBR,0.009218386671140867,58,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_wet_MSR,0.009176782981634584,59,False,Sentinel-2 optical,wet,spectral_index
10,1,L89_wet_SWIR2_p75,0.009161646068348513,60,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,1,S2_wet_B8,0.009147660868443538,61,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,S2_wet_NLI,0.008991370311124385,62,False,Sentinel-2 optical,wet,spectral_index
10,1,L89_wet_NDVI,0.008900626777309736,63,False,Landsat 8/9 optical,wet,spectral_index
10,1,S2_dry_PSRI,0.008684355301275697,64,False,Sentinel-2 optical,dry,spectral_index
10,1,S2_wet_SR,0.008488800599329245,65,False,Sentinel-2 optical,wet,spectral_index
10,1,S2_wet_B6,0.008259373911271439,66,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,S1_VHdesc_p25,0.008136207543411218,67,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,1,S2_wet_NDMI,0.008132795589277826,68,False,Sentinel-2 optical,wet,spectral_index
10,1,L89_wet_NIR,0.007776157138379541,69,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,1,L89_wet_MSI,0.00776782884250174,70,False,Landsat 8/9 optical,wet,spectral_index
10,1,L89_wet_BSI,0.007586853610612171,71,False,Landsat 8/9 optical,wet,spectral_index
10,1,S2_wet_B4,0.007388681965556868,72,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,DEM_slope,0.007314138546641209,73,False,DEM/topography,static_or_annual,topographic
10,1,L89_wet_Blue,0.006853197028864504,74,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,1,L89_wet_NDMI,0.00672531316390736,75,False,Landsat 8/9 optical,wet,spectral_index
10,1,S2_dry_MTCI,0.006596330021562537,76,False,Sentinel-2 optical,dry,spectral_index
10,1,S1_VHdesc_p50,0.006492078520425521,77,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,1,S2_wet_B3,0.006481457372981567,78,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,S2_wet_NDI,0.006308565008026305,79,False,Sentinel-2 optical,wet,spectral_index
10,1,L89_wet_Green,0.006086846192576624,80,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,1,L89_wet_Red,0.00581966683588849,81,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,1,S2_wet_B2,0.005745247397582971,82,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,S1_VVdesc_p25,0.005515896805473383,83,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,1,S2_wet_B5,0.005359263501065163,84,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,S1_VVdesc_p50,0.004991692539792461,85,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,1,S1_VH_glcm_contrast_5x5,0.00497474787668545,86,False,Sentinel-1 SAR,static_or_annual,texture
10,1,S1_VVminusVH_asc_p50,0.004589749332306369,87,False,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,1,S1_VVdesc_p75,0.004429367127655269,88,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,1,S1_VHdesc_p75,0.004076521259650858,89,False,Sentinel-1 SAR,descending,sar_backscatter_metric
10,1,S1_VH_glcm_ent_5x5,0.0038742510562852425,90,False,Sentinel-1 SAR,static_or_annual,texture
