table,feature,sensor_group,missing_rate,zero_rate
train,DEM_aspect,DEM,0.0,0.08523809523809524
train,DEM_elevation,DEM,0.0,0.0
train,DEM_hillshade,DEM,0.0,0.0
train,DEM_slope,DEM,0.0,0.03333333333333333
train,L89_dry_BSI,L89,0.0,0.015714285714285715
train,L89_dry_Blue,L89,0.0,0.015714285714285715
train,L89_dry_Green,L89,0.0,0.015714285714285715
train,L89_dry_MSI,L89,0.0,0.015714285714285715
train,L89_dry_NBR,L89,0.0,0.015714285714285715
train,L89_dry_NBR2,L89,0.0,0.015714285714285715
train,L89_dry_NDMI,L89,0.0,0.015714285714285715
train,L89_dry_NDVI,L89,0.0,0.015714285714285715
train,L89_dry_NIR,L89,0.0,0.015714285714285715
train,L89_dry_Red,L89,0.0,0.015714285714285715
train,L89_dry_SWIR1,L89,0.0,0.015714285714285715
train,L89_dry_SWIR2,L89,0.0,0.015714285714285715
train,L89_dry_SWIR2_p75,L89,0.0,0.015714285714285715
train,L89_wet_BSI,L89,0.0,0.0380952380952381
train,L89_wet_Blue,L89,0.0,0.0380952380952381
train,L89_wet_Green,L89,0.0,0.0380952380952381
train,L89_wet_MSI,L89,0.0,0.0380952380952381
train,L89_wet_NBR,L89,0.0,0.0380952380952381
train,L89_wet_NBR2,L89,0.0,0.0380952380952381
train,L89_wet_NDMI,L89,0.0,0.0380952380952381
train,L89_wet_NDVI,L89,0.0,0.0380952380952381
train,L89_wet_NIR,L89,0.0,0.0380952380952381
train,L89_wet_Red,L89,0.0,0.0380952380952381
train,L89_wet_SWIR1,L89,0.0,0.0380952380952381
train,L89_wet_SWIR2,L89,0.0,0.0380952380952381
train,L89_wet_SWIR2_p75,L89,0.0,0.0380952380952381
train,S1_VH_glcm_asm_5x5,S1,0.0,0.0
train,S1_VH_glcm_contrast_5x5,S1,0.0,0.0019047619047619048
train,S1_VH_glcm_ent_5x5,S1,0.0,0.0019047619047619048
train,S1_VHasc_p50,S1,0.0,0.0
train,S1_VHdesc_p25,S1,0.0,0.0
train,S1_VHdesc_p50,S1,0.0,0.0
train,S1_VHdesc_p75,S1,0.0,0.0
