feature,rf_importance,rank,sensor
S2_dry_CVI,0.07074273429912424,1,Sentinel-2
S2_dry_MNDWI,0.07021392929710471,2,Sentinel-2
DEM_elevation,0.06136614989382564,3,DEM
S2_wet_NBR2,0.05804520117239612,4,Sentinel-2
S1_VHasc_p50,0.056611933998259575,5,Sentinel-1
S2_dry_NBR2,0.051393877620613836,6,Sentinel-2
L89_dry_NIR,0.046819008489256075,7,Landsat 8/9
L89_dry_SWIR1,0.04664544890695251,8,Landsat 8/9
S2_dry_B2,0.0464616163049377,9,Sentinel-2
L89_dry_BSI,0.045924257593936944,10,Landsat 8/9
S2_dry_NDI,0.04208270766627099,11,Sentinel-2
L89_dry_Green,0.0412788956133829,12,Landsat 8/9
L89_dry_MSI,0.04108370284969011,13,Landsat 8/9
L89_wet_NBR2,0.03866458219738964,14,Landsat 8/9
S2_wet_B12,0.03789255391796128,15,Sentinel-2
S2_wet_CVI,0.03473157149714896,16,Sentinel-2
S2_wet_B8,0.03299770483728265,17,Sentinel-2
S2_dry_B5,0.029987640784321354,18,Sentinel-2
S2_dry_NDMI,0.027693102591439513,19,Sentinel-2
L89_wet_SWIR2,0.024909578885521817,20,Landsat 8/9
L89_wet_NIR,0.024118223550549687,21,Landsat 8/9
S2_wet_NDMI,0.02048909269188632,22,Sentinel-2
L89_wet_NDMI,0.017768550402072446,23,Landsat 8/9
L89_wet_MSI,0.016627587016830713,24,Landsat 8/9
L89_wet_Green,0.015450347921844196,25,Landsat 8/9
