block_size_km,fold,rank_selected,feature,source_group,season_or_orbit,feature_family
10,1,1,DEM_elevation,DEM/topography,static_or_annual,topographic
10,1,2,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
10,1,3,L89_dry_NIR,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,4,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
10,1,5,S2_dry_B12,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,6,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
10,1,7,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
10,1,8,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,1,9,S2_dry_GNDVI,Sentinel-2 optical,dry,spectral_index
10,1,10,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,1,11,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,12,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
10,1,13,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
10,1,14,S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile
10,1,15,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
10,1,16,S2_wet_RDVI,Sentinel-2 optical,wet,spectral_index
10,1,17,S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,18,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
10,1,19,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
10,1,20,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
10,1,21,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,1,22,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
10,1,23,S2_wet_MTCI,Sentinel-2 optical,wet,spectral_index
10,1,24,L89_wet_SWIR2,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,1,25,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
10,2,1,DEM_elevation,DEM/topography,static_or_annual,topographic
10,2,2,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
10,2,3,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
10,2,4,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,5,L89_dry_Red,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,6,S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index
10,2,7,L89_dry_SWIR2_p75,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,8,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,9,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
10,2,10,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
10,2,11,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,2,12,S2_dry_B7,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,13,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
10,2,14,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
10,2,15,S2_dry_NLI,Sentinel-2 optical,dry,spectral_index
10,2,16,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
10,2,17,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
10,2,18,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,2,19,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
10,2,20,S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,21,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,22,S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,23,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index
10,2,24,S2_dry_MTCI,Sentinel-2 optical,dry,spectral_index
10,2,25,S2_wet_B8,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
10,3,2,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,3,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
10,3,4,L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,5,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,6,DEM_elevation,DEM/topography,static_or_annual,topographic
10,3,7,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,3,8,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
10,3,9,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
10,3,10,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,11,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,3,12,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
10,3,13,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
10,3,14,S2_dry_B6,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,15,S2_dry_RDVI,Sentinel-2 optical,dry,spectral_index
10,3,16,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
10,3,17,S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index
10,3,18,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
10,3,19,S2_dry_MTCI,Sentinel-2 optical,dry,spectral_index
10,3,20,S2_dry_B4,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,21,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
10,3,22,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,23,S2_dry_NDMI,Sentinel-2 optical,dry,spectral_index
10,3,24,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
10,3,25,S2_wet_NLI,Sentinel-2 optical,wet,spectral_index
10,4,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
10,4,2,DEM_elevation,DEM/topography,static_or_annual,topographic
10,4,3,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
10,4,4,S2_dry_B6,Sentinel-2 optical,dry,spectral_band_or_percentile
10,4,5,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
10,4,6,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,4,7,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
10,4,8,L89_dry_Red,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,4,9,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
10,4,10,L89_dry_NBR2,Landsat 8/9 optical,dry,spectral_index
10,4,11,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,4,12,L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,4,13,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
10,4,14,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
10,4,15,S2_wet_GNDVI,Sentinel-2 optical,wet,spectral_index
10,4,16,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
10,4,17,S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile
10,4,18,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
10,4,19,S2_dry_GNDVI,Sentinel-2 optical,dry,spectral_index
10,4,20,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
10,4,21,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
10,4,22,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
10,4,23,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index
10,4,24,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
10,4,25,S2_wet_NLI,Sentinel-2 optical,wet,spectral_index
10,5,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
10,5,2,DEM_elevation,DEM/topography,static_or_annual,topographic
10,5,3,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
10,5,4,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,5,5,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,5,6,S2_wet_GNDVI,Sentinel-2 optical,wet,spectral_index
10,5,7,S2_dry_B3,Sentinel-2 optical,dry,spectral_band_or_percentile
10,5,8,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
10,5,9,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
10,5,10,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
10,5,11,L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,5,12,S2_dry_B7,Sentinel-2 optical,dry,spectral_band_or_percentile
10,5,13,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
10,5,14,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
10,5,15,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
10,5,16,S2_dry_NLI,Sentinel-2 optical,dry,spectral_index
10,5,17,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
10,5,18,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
10,5,19,S2_wet_NLI,Sentinel-2 optical,wet,spectral_index
10,5,20,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,5,21,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
10,5,22,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index
10,5,23,S2_dry_B4,Sentinel-2 optical,dry,spectral_band_or_percentile
10,5,24,S2_wet_SR,Sentinel-2 optical,wet,spectral_index
10,5,25,S2_dry_MTCI,Sentinel-2 optical,dry,spectral_index
15,1,1,DEM_elevation,DEM/topography,static_or_annual,topographic
15,1,2,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
15,1,3,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
15,1,4,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
