feature,mean_abs_shap,mean_signed_shap,rank,class_id,class_name,sensor
S2_dry_CVI,0.033379748501555874,0.0011994325664897406,1,9,Water,Sentinel-2
S2_dry_MNDWI,0.03164018607378731,0.0005123394489756981,2,9,Water,Sentinel-2
S1_VHasc_p50,0.024295267048848497,0.002226968460099824,3,9,Water,Sentinel-1
L89_dry_NIR,0.019340200480645532,0.002217903458489466,4,9,Water,Landsat 8/9
S2_wet_CVI,0.018246345506284744,0.00010794346429255366,5,9,Water,Sentinel-2
L89_dry_SWIR1,0.012021612968183139,0.0006236610581076921,6,9,Water,Landsat 8/9
S2_wet_B8,0.010740513183060511,0.0011316372060241897,7,9,Water,Sentinel-2
S2_wet_B12,0.008325156405421325,0.000917835166699066,8,9,Water,Sentinel-2
DEM_elevation,0.007565253596081203,-0.0021175591065565147,9,9,Water,DEM
L89_dry_BSI,0.007276575412776368,-0.000778462222564311,10,9,Water,Landsat 8/9
S2_dry_NDI,0.006735231511945974,0.0017593443731873093,11,9,Water,Sentinel-2
S2_dry_NBR2,0.006125150406511657,-0.0024506024730556893,12,9,Water,Sentinel-2
S2_dry_B5,0.005882396353915138,-4.807275088405025e-06,13,9,Water,Sentinel-2
S2_wet_NBR2,0.004520390248509824,0.0009121922556944445,14,9,Water,Sentinel-2
L89_dry_MSI,0.004449977723395967,-0.00033047507806730804,15,9,Water,Landsat 8/9
S2_dry_B2,0.003980709970414031,-0.00022253649282512106,16,9,Water,Sentinel-2
L89_wet_NIR,0.0031228706430418735,-0.00027402535414897784,17,9,Water,Landsat 8/9
L89_wet_NBR2,0.0031009760734056254,0.000875129440126672,18,9,Water,Landsat 8/9
L89_wet_SWIR2,0.003044986129926912,0.00035750521025090137,19,9,Water,Landsat 8/9
L89_dry_Green,0.002476520294965508,-0.0010099130384900212,20,9,Water,Landsat 8/9
S2_dry_NDMI,0.0023522785623288807,-0.0003845524786425641,21,9,Water,Sentinel-2
L89_wet_NDMI,0.000780554766611348,0.00035165353729060475,22,9,Water,Landsat 8/9
L89_wet_MSI,0.000631822635159956,0.00025536336897954883,23,9,Water,Landsat 8/9
S2_wet_NDMI,0.0004768895257620808,0.00015095685898701777,24,9,Water,Sentinel-2
L89_wet_Green,0.00032188523567762737,8.229612559770301e-05,25,9,Water,Landsat 8/9
