feature,mean_abs_shap,mean_signed_shap,rank,class_id,class_name,sensor
S2_dry_CVI,0.0237504740513449,0.0036085235886381,1,1,Sun coffee,Sentinel-2
DEM_elevation,0.0236749985534422,0.0040917416647297,2,1,Sun coffee,DEM
S2_dry_MNDWI,0.0209784215346169,-0.0037013025709099,3,1,Sun coffee,Sentinel-2
S2_dry_B2,0.0195700466072503,-0.0041531762500235,4,1,Sun coffee,Sentinel-2
S2_wet_NBR2,0.0149116451254512,0.0002868118338356,5,1,Sun coffee,Sentinel-2
S2_dry_NBR2,0.0123269924583419,-0.0021227188605036,6,1,Sun coffee,Sentinel-2
L89_dry_BSI,0.0114405667127959,-0.0003156180265596,7,1,Sun coffee,Landsat 8/9
L89_dry_NIR,0.0095508082098445,-6.824524727284068e-05,8,1,Sun coffee,Landsat 8/9
L89_dry_MSI,0.0093893222218769,-0.0013007343600664,9,1,Sun coffee,Landsat 8/9
S2_dry_B5,0.0087130875090346,-0.0015044468438848,10,1,Sun coffee,Sentinel-2
S1_VHasc_p50,0.0078709838729395,0.000891980755181,11,1,Sun coffee,Sentinel-1
L89_dry_Green,0.0071659159045773,0.0001541360314304,12,1,Sun coffee,Landsat 8/9
S2_dry_NDI,0.0069976541537144,-0.0003909395277532,13,1,Sun coffee,Sentinel-2
L89_wet_NBR2,0.006986240780306,-0.0001359914692422,14,1,Sun coffee,Landsat 8/9
S2_wet_B12,0.0064127471831845,0.0001050564412732,15,1,Sun coffee,Sentinel-2
S2_wet_CVI,0.0059151483891681,-0.0001409951282803,16,1,Sun coffee,Sentinel-2
L89_dry_SWIR1,0.0059073227685003,-0.0004898180616866,17,1,Sun coffee,Landsat 8/9
S2_dry_NDMI,0.0056170619637227,-0.0002857525476991,18,1,Sun coffee,Sentinel-2
L89_wet_SWIR2,0.0050020494669563,3.937892499644722e-05,19,1,Sun coffee,Landsat 8/9
S2_wet_B8,0.0044312416806995,0.001317613240213,20,1,Sun coffee,Sentinel-2
S2_wet_NDMI,0.0035243223634399,0.001103727791787,21,1,Sun coffee,Sentinel-2
L89_wet_NDMI,0.0031802170394049,0.0004141370895569,22,1,Sun coffee,Landsat 8/9
L89_wet_NIR,0.0031543139657475,2.4560184198024064e-05,23,1,Sun coffee,Landsat 8/9
L89_wet_Green,0.0031040670481121,0.0003905774128966,24,1,Sun coffee,Landsat 8/9
L89_wet_MSI,0.0026449335360591,0.0010448135322156,25,1,Sun coffee,Landsat 8/9
S2_dry_MNDWI,0.0202641580532093,-0.0026914078825017,1,2,Intercrop coffee,Sentinel-2
S2_dry_B2,0.01808119099701,-0.0021283830283628,2,2,Intercrop coffee,Sentinel-2
S2_dry_CVI,0.0168242711987388,0.0007737828100388,3,2,Intercrop coffee,Sentinel-2
DEM_elevation,0.0162407208844135,-0.001212639853387,4,2,Intercrop coffee,DEM
S2_dry_NBR2,0.0141802458070722,0.0016108629482279,5,2,Intercrop coffee,Sentinel-2
L89_dry_Green,0.0132047095122234,-0.0014711545819518,6,2,Intercrop coffee,Landsat 8/9
S2_wet_NBR2,0.0117252766848955,0.0002301783869478,7,2,Intercrop coffee,Sentinel-2
L89_dry_BSI,0.0106576536116905,0.0014835807276861,8,2,Intercrop coffee,Landsat 8/9
S2_dry_B5,0.0104082643537643,-0.0018104680906787,9,2,Intercrop coffee,Sentinel-2
S1_VHasc_p50,0.0103236068454884,0.0014806367684628,10,2,Intercrop coffee,Sentinel-1
L89_wet_NBR2,0.0080838285342287,-0.000240069351629,11,2,Intercrop coffee,Landsat 8/9
L89_dry_MSI,0.0077662699196305,-0.0004021122509504,12,2,Intercrop coffee,Landsat 8/9
L89_dry_SWIR1,0.0076156612413851,0.0005132325742054,13,2,Intercrop coffee,Landsat 8/9
L89_wet_NIR,0.0074344009854749,0.0009267694468975,14,2,Intercrop coffee,Landsat 8/9
L89_dry_NIR,0.0074263953983311,0.0011090331701086,15,2,Intercrop coffee,Landsat 8/9
S2_wet_B12,0.0064805481424016,0.0009647873397301,16,2,Intercrop coffee,Sentinel-2
S2_dry_NDMI,0.0055366717017226,0.0002005626221707,17,2,Intercrop coffee,Sentinel-2
S2_dry_NDI,0.005475694132585,0.001161901986444,18,2,Intercrop coffee,Sentinel-2
L89_wet_Green,0.0051258606413963,-0.0011965285534696,19,2,Intercrop coffee,Landsat 8/9
S2_wet_CVI,0.0049584185340729,0.0005150667528278,20,2,Intercrop coffee,Sentinel-2
S2_wet_B8,0.0047247015552087,0.0002913141168837,21,2,Intercrop coffee,Sentinel-2
L89_wet_SWIR2,0.0035978051912933,0.0011026260735878,22,2,Intercrop coffee,Landsat 8/9
S2_wet_NDMI,0.0027050770184432,-0.0001674838563052,23,2,Intercrop coffee,Sentinel-2
L89_wet_NDMI,0.0020934497185805,0.0006442989445735,24,2,Intercrop coffee,Landsat 8/9
L89_wet_MSI,0.0019324932869937,0.0004002757841066,25,2,Intercrop coffee,Landsat 8/9
S2_dry_NDI,0.0304722477013596,-0.0037234253860341,1,3,Newly planted coffee,Sentinel-2
S2_dry_NBR2,0.025042578983422,0.0020794406120426,2,3,Newly planted coffee,Sentinel-2
L89_dry_BSI,0.0249259133546511,-0.0013912624934656,3,3,Newly planted coffee,Landsat 8/9
S2_dry_CVI,0.0229212280792947,3.4954056196252246e-05,4,3,Newly planted coffee,Sentinel-2
L89_dry_NIR,0.01781030857742,0.0006176190334442,5,3,Newly planted coffee,Landsat 8/9
S2_dry_B2,0.017033415371601,0.0007859330458795,6,3,Newly planted coffee,Sentinel-2
L89_dry_MSI,0.0130097644180358,0.0006103730581857,7,3,Newly planted coffee,Landsat 8/9
L89_dry_Green,0.0120301206228119,0.0018935245679361,8,3,Newly planted coffee,Landsat 8/9
S1_VHasc_p50,0.010569974289745,-0.0014420098281107,9,3,Newly planted coffee,Sentinel-1
S2_dry_MNDWI,0.0092557981575382,0.0019194409124134,10,3,Newly planted coffee,Sentinel-2
S2_wet_B12,0.0070204697540803,0.0018558034882125,11,3,Newly planted coffee,Sentinel-2
L89_dry_SWIR1,0.0067193273764943,0.0003932509233933,12,3,Newly planted coffee,Landsat 8/9
DEM_elevation,0.0062806786561849,-0.0012773510780217,13,3,Newly planted coffee,DEM
S2_dry_B5,0.0053389402530375,0.0006762787973838,14,3,Newly planted coffee,Sentinel-2
S2_dry_NDMI,0.0052002406614853,0.0004708358524425,15,3,Newly planted coffee,Sentinel-2
L89_wet_NBR2,0.0051236059558753,0.0006690483549885,16,3,Newly planted coffee,Landsat 8/9
S2_wet_NBR2,0.0046655178861689,0.0017626673396299,17,3,Newly planted coffee,Sentinel-2
S2_wet_CVI,0.0043652412883973,7.206959915749927e-05,18,3,Newly planted coffee,Sentinel-2
L89_wet_SWIR2,0.004083519461133,-0.0001104181419419,19,3,Newly planted coffee,Landsat 8/9
S2_wet_B8,0.0032159731386467,-0.0010823392351921,20,3,Newly planted coffee,Sentinel-2
L89_wet_MSI,0.0031162490331996,-0.0013696658656513,21,3,Newly planted coffee,Landsat 8/9
L89_wet_NDMI,0.0019889870046968,-0.0005077730029879,22,3,Newly planted coffee,Landsat 8/9
S2_wet_NDMI,0.0017871835184963,-0.0004163046722861,23,3,Newly planted coffee,Sentinel-2
L89_wet_NIR,0.0014092613035731,6.624490935585598e-05,24,3,Newly planted coffee,Landsat 8/9
L89_wet_Green,0.0014030843894127,8.09886878281199e-05,25,3,Newly planted coffee,Landsat 8/9
