feature,mean_abs_shap,mean_signed_shap,rank,sensor
S2_dry_CVI,0.06377539716328638,0.06279094842867149,1,Sentinel-2
S2_dry_MNDWI,0.056266817544196976,0.05484307722590792,2,Sentinel-2
S2_dry_NBR2,0.050025646356215585,0.049218558611870245,3,Sentinel-2
S2_wet_NBR2,0.04958330092829381,0.04827746643246747,4,Sentinel-2
L89_dry_BSI,0.041265669139325556,0.04073404714397097,5,Landsat 8/9
S2_dry_B2,0.040485318785794984,0.038613079755441156,6,Sentinel-2
DEM_elevation,0.03981125784762632,0.0346455716062606,7,DEM
S1_VHasc_p50,0.038980677288774405,0.03591085382854862,8,Sentinel-1
L89_dry_NIR,0.034928441144255695,0.03384617189446384,9,Landsat 8/9
L89_dry_Green,0.031161839076463825,0.030360547298677897,10,Landsat 8/9
L89_dry_MSI,0.030663392551132512,0.029846723775099764,11,Landsat 8/9
L89_dry_SWIR1,0.029879457876475734,0.028491763324284505,12,Landsat 8/9
S2_dry_NDI,0.029745221848767045,0.029248564005514153,13,Sentinel-2
L89_wet_NBR2,0.029032580585936676,0.02740603457427031,14,Landsat 8/9
S2_wet_B12,0.025529451212006907,0.023971041122035817,15,Sentinel-2
S2_wet_CVI,0.02329462702810869,0.022641416002118785,16,Sentinel-2
S2_wet_B8,0.020649589704355528,0.019294920904119217,17,Sentinel-2
S2_dry_B5,0.018332289062648437,0.01686656058454951,18,Sentinel-2
S2_dry_NDMI,0.017833405329157944,0.017036128493754858,19,Sentinel-2
L89_wet_SWIR2,0.015248673538280627,0.013513464810678609,20,Landsat 8/9
L89_wet_NIR,0.011946929582745297,0.009924612909326917,21,Landsat 8/9
S2_wet_NDMI,0.010093045235452949,0.009414212114480241,22,Sentinel-2
L89_wet_NDMI,0.007549466710260802,0.0066575143540248335,23,Landsat 8/9
L89_wet_Green,0.007125340984040284,0.005292470626476877,24,Landsat 8/9
L89_wet_MSI,0.006587116288673428,0.00595417324990845,25,Landsat 8/9
