Block size (km),Fold,n_train_samples,n_test_samples,n_train_blocks,n_test_blocks,n_candidate_features_after_fold_screen,n_selected_features,OA,Kappa,MacroF1_10class,CoffeeSubclassMacroF1,CoffeeBinaryF1,oob_score,nearest_train_test_distance_min_m,nearest_train_test_distance_p05_m,nearest_train_test_distance_median_m,nearest_train_test_distance_mean_m
10,1,1853,1147,84,18,97,25,0.6495204882301656,0.6045346596303625,0.6302506210981755,0.5949967096524911,0.814299900695134,0.9579060982191041,9.94625548122386,394.8708489365834,1325.6031391443519,2179.9946350722507
10,2,2399,601,82,20,97,25,0.6239600665557404,0.5768436334634545,0.6512488568333497,0.3018087855297158,0.7743362831858407,0.9649854105877449,101.96932355773497,729.549080492133,6892.107409295532,5521.194389547966
10,3,2634,366,83,19,97,25,0.8715846994535519,0.844834118092764,0.7808070148552388,0.31666666666666665,0.95,0.9498861047835991,101.96932355773497,264.58487262280687,1556.5867963724359,2406.9038772402528
10,4,2513,487,79,23,97,25,0.8213552361396304,0.799536325140167,0.7834243646096694,0.4959942520918131,0.8465116279069768,0.9645841623557501,9.94625548122386,521.3839579511292,3086.9412488086414,3341.5143424108924
10,5,2601,399,80,22,97,25,0.8421052631578947,0.8191491657853274,0.7486601034580833,0.2138848805515472,0.9465648854961832,0.9584775086505191,21.90349306841517,497.02791661996014,3595.614294370033,4054.470589018046
15,1,2565,435,48,11,97,25,0.8597701149425288,0.830602069674355,0.6459857779360474,0.13095238095238096,0.8846153846153846,0.9590643274853801,209.84242152288869,1587.4765028710115,7156.768240819003,7005.7149944379
15,2,2419,581,46,13,97,25,0.648881239242685,0.5996798086958284,0.6107669782345916,0.3893678624861421,0.7566371681415929,0.9681686647374949,209.84242152288869,811.488806811647,6905.524898682981,5752.7782401514705
15,3,2565,435,46,13,97,25,0.8666666666666667,0.8393914316633777,0.716624361560455,0.015873015873015872,0.9879518072289156,0.9590643274853801,9.946127646512782,510.7256389254742,7573.558736961986,6913.406188809681
15,4,1771,1229,48,11,97,25,0.45728234336859236,0.3878010237383628,0.5239955094166975,0.3381737558127506,0.6638795986622074,0.9632975719932242,9.946127646512782,596.6278856594386,4050.343126938861,3636.0846699736753
15,5,2680,320,48,11,97,25,0.8875,0.8598352577595542,0.6976530174752706,0.0,0.0,0.9597014925373134,21.90349306841517,507.77509281366304,3417.3233374957954,3847.710504747442
20,1,1616,1384,31,8,97,25,0.476878612716763,0.4131354815433469,0.5164981559712889,0.3893129804726439,0.6698950766747377,0.9585396039603961,21.90349306841517,1310.0994169676887,5800.142048261838,5890.450102789597
20,2,2605,395,32,7,97,25,0.8582278481012658,0.8279817405572707,0.6444590152545622,0.14492753623188406,0.9565217391304348,0.9585412667946257,307.72867213213846,897.0432024268817,7831.940392493162,7172.304095167799
20,3,2425,575,32,7,97,25,0.5373913043478261,0.47235331456642926,0.6038700570283637,0.22176580992889683,0.7689243027888446,0.971958762886598,439.55749798673173,1599.80678496641,7871.064575672075,7033.609187218541
20,4,2672,328,30,9,97,25,0.9542682926829268,0.9422765563038225,0.6469117612946746,0.0,0.0,0.9543413173652695,208.36939574969324,625.931998022278,3843.6138226340745,4756.839685727842
20,5,2682,318,31,8,97,25,0.89937106918239,0.8732199588861895,0.6184015328933361,0.0,0.0,0.9608501118568232,21.90349306841517,542.9280359331082,4464.499231089128,5640.53887183079
