feature,rf_rank_importance,rf_rank
S2_dry_CVI,0.021875284223983646,1
DEM_elevation,0.021761370903411743,2
S2_dry_MNDWI,0.020675088175186665,3
S1_VHasc_p50,0.017176798929777977,4
S2_dry_B11,0.017093440846840724,5
L89_dry_Red,0.016453913574217223,6
S2_wet_NBR2,0.01642783763659986,7
L89_dry_SWIR2_p75,0.016306908899368,8
L89_dry_SWIR1,0.015938945296536364,9
S2_dry_B2,0.015844686789478823,10
L89_dry_Blue,0.015307993730607605,11
L89_dry_Green,0.014803192953130942,12
L89_dry_NBR2,0.014657599901415855,13
S2_dry_B3,0.014275802299000504,14
S1_VVasc_p50,0.014183127968623336,15
L89_dry_SWIR2,0.01403129822204033,16
S2_dry_NBR2,0.014020789857933392,17
S2_dry_B12,0.013824976262085367,18
S2_wet_GNDVI,0.01374886087576992,19
L89_dry_NBR,0.013701874752327243,20
S2_dry_MTCI,0.013410065363234098,21
S2_wet_NDWI,0.013294488612649714,22
S2_dry_B8,0.013227543743389828,23
S2_dry_B6,0.01322374279587126,24
S2_wet_NBR,0.013201469989399988,25
S2_dry_NDI,0.013084500408239295,26
L89_dry_BSI,0.013048331341022104,27
S2_dry_B7,0.012966616909289953,28
L89_dry_NDMI,0.012566328837770733,29
S2_dry_NDWI,0.012559455494147947,30
L89_dry_MSI,0.012397143389290485,31
S2_dry_GNDVI,0.012394054013079359,32
L89_dry_NDVI,0.012388639293873183,33
S2_dry_SR,0.011925908660732558,34
S2_wet_B12,0.011648808191041091,35
L89_wet_NBR2,0.011590580278876432,36
L89_dry_NIR,0.01157925593178638,37
S2_dry_MSR,0.011277162643892393,38
S2_wet_CVI,0.011134059914168406,39
S2_wet_B11,0.011124540361343629,40
S2_dry_B5,0.011030444774553283,41
S2_wet_RDVI,0.010996034626622152,42
S2_wet_MNDWI,0.010974021199740253,43
S2_dry_NLI,0.010909503891872953,44
S2_wet_MTCI,0.010686798935462328,45
S2_dry_NBR,0.010552891473553089,46
S2_wet_CI_RE,0.010458446946746152,47
S2_wet_NDVI_RE,0.010366306837464022,48
S2_wet_NLI,0.010347812286259092,49
S2_dry_B4,0.010314276791344576,50
S2_dry_NDMI,0.01024556655812993,51
S2_dry_NDVI,0.0098897740103813,52
S2_wet_SR,0.009858673792510689,53
S2_dry_RDVI,0.009768145062395732,54
L89_wet_SWIR2,0.0096952225334144,55
S2_wet_B6,0.009629943883293385,56
L89_wet_NBR,0.009624133845044135,57
S2_dry_NDVI_RE,0.009616194394937595,58
S2_wet_NDVI,0.00957787619661682,59
S2_wet_B8,0.009351162100059736,60
S2_dry_CI_RE,0.008705140087402656,61
S2_wet_MSR,0.008687151072120715,62
S2_wet_NDI,0.008655574713134053,63
S2_dry_PSRI,0.008514575517800679,64
S2_wet_NDMI,0.008324840117906256,65
L89_wet_NDVI,0.008158185334747884,66
DEM_slope,0.00792293173689049,67
S2_wet_B4,0.007869043501171466,68
L89_wet_BSI,0.007744091259393414,69
S2_wet_B5,0.007701053400901271,70
S1_VHdesc_p50,0.007572496241163918,71
S2_wet_B2,0.007454707261796249,72
L89_wet_NIR,0.007438048438542022,73
S2_wet_B7,0.0073348094035666994,74
S2_wet_B3,0.0072073469164562615,75
L89_wet_SWIR1,0.00718773756186129,76
L89_wet_SWIR2_p75,0.006679047660078466,77
L89_wet_NDMI,0.00664039592230891,78
L89_wet_MSI,0.006619735560994286,79
S1_VH_glcm_contrast_5x5,0.006615118080629209,80
S1_VVdesc_p50,0.006127613181995509,81
S1_VVdesc_p25,0.005964220091491127,82
S1_VHdesc_p25,0.005843856222220047,83
L89_wet_Blue,0.00580176598249825,84
S1_VVminusVH_asc_p50,0.005399731756710467,85
L89_wet_Red,0.005383311316094708,86
L89_wet_Green,0.0053053056649428115,87
S2_wet_PSRI,0.004663840343124654,88
S1_VVdesc_p75,0.004091049704185289,89
S1_VHdesc_p75,0.003982521522897913,90
DEM_hillshade,0.0034323545526666467,91
S1_VH_glcm_ent_5x5,0.003394672906491491,92
S1_VH_glcm_asm_5x5,0.0031996093731327213,93
S1_VHdesc_std,0.0031311341878452023,94
S1_VVdesc_std,0.002507958059747553,95
S1_VVminusVH_desc_p50,0.002354456816451126,96
DEM_aspect,0.00233885011680229,97
