feature,importance,strategy,feature_count_target,n_selected,seed,rank
S2_dry_CVI,0.08077593004747628,RF_rank_only,20,20,2024,1
S2_wet_NBR2,0.07322515700481133,RF_rank_only,20,20,2024,2
DEM_elevation,0.06903065557290118,RF_rank_only,20,20,2024,3
S2_dry_MNDWI,0.06690245560221564,RF_rank_only,20,20,2024,4
S1_VHasc_p50,0.058902224985489506,RF_rank_only,20,20,2024,5
S2_dry_NBR2,0.05636122489081567,RF_rank_only,20,20,2024,6
S1_VVasc_p50,0.053637901483842745,RF_rank_only,20,20,2024,7
L89_dry_NBR,0.050168659071794235,RF_rank_only,20,20,2024,8
S2_dry_B11,0.04926021423319118,RF_rank_only,20,20,2024,9
L89_dry_NBR2,0.04887878733444763,RF_rank_only,20,20,2024,10
S2_wet_GNDVI,0.04816766488206492,RF_rank_only,20,20,2024,11
S2_dry_B12,0.04517637557515236,RF_rank_only,20,20,2024,12
L89_dry_Red,0.043866273747689574,RF_rank_only,20,20,2024,13
L89_dry_Green,0.03991145952144954,RF_rank_only,20,20,2024,14
S2_dry_B2,0.039294332534196945,RF_rank_only,20,20,2024,15
L89_dry_SWIR1,0.038743732543290416,RF_rank_only,20,20,2024,16
L89_dry_SWIR2,0.03818164751655004,RF_rank_only,20,20,2024,17
S2_dry_B3,0.0332638178772823,RF_rank_only,20,20,2024,18
L89_dry_SWIR2_p75,0.03326029871964048,RF_rank_only,20,20,2024,19
L89_dry_Blue,0.032991186855698046,RF_rank_only,20,20,2024,20
S2_dry_CVI,0.08203982824097246,RF_rank_only,20,20,2025,1
S2_wet_NBR2,0.07494806382636272,RF_rank_only,20,20,2025,2
DEM_elevation,0.06931578335235657,RF_rank_only,20,20,2025,3
S2_dry_MNDWI,0.06666470184611525,RF_rank_only,20,20,2025,4
S1_VHasc_p50,0.05942035242480181,RF_rank_only,20,20,2025,5
S2_dry_NBR2,0.05651610178698084,RF_rank_only,20,20,2025,6
S1_VVasc_p50,0.05157404200267666,RF_rank_only,20,20,2025,7
L89_dry_NBR,0.049851002336324,RF_rank_only,20,20,2025,8
S2_dry_B11,0.049836929483820666,RF_rank_only,20,20,2025,9
L89_dry_NBR2,0.04940400847253662,RF_rank_only,20,20,2025,10
S2_wet_GNDVI,0.04885418938899419,RF_rank_only,20,20,2025,11
S2_dry_B12,0.044466322881192503,RF_rank_only,20,20,2025,12
L89_dry_Red,0.041869765645435215,RF_rank_only,20,20,2025,13
L89_dry_Green,0.03891305574511592,RF_rank_only,20,20,2025,14
S2_dry_B2,0.03871285157690093,RF_rank_only,20,20,2025,15
L89_dry_SWIR2,0.03839616827400203,RF_rank_only,20,20,2025,16
L89_dry_SWIR1,0.03798493654179302,RF_rank_only,20,20,2025,17
