strategy,feature_count_target,n_selected,rank_selected,feature,source_group
RF_rank_only,20,20,1,S2_dry_CVI,Sentinel-2
RF_rank_only,20,20,2,DEM_elevation,DEM
RF_rank_only,20,20,3,S2_dry_MNDWI,Sentinel-2
RF_rank_only,20,20,4,S1_VHasc_p50,Sentinel-1
RF_rank_only,20,20,5,S2_dry_B11,Sentinel-2
RF_rank_only,20,20,6,L89_dry_Red,Landsat 8/9
RF_rank_only,20,20,7,S2_wet_NBR2,Sentinel-2
RF_rank_only,20,20,8,L89_dry_SWIR2_p75,Landsat 8/9
RF_rank_only,20,20,9,L89_dry_SWIR1,Landsat 8/9
RF_rank_only,20,20,10,S2_dry_B2,Sentinel-2
RF_rank_only,20,20,11,L89_dry_Blue,Landsat 8/9
RF_rank_only,20,20,12,L89_dry_Green,Landsat 8/9
RF_rank_only,20,20,13,L89_dry_NBR2,Landsat 8/9
RF_rank_only,20,20,14,S2_dry_B3,Sentinel-2
RF_rank_only,20,20,15,S1_VVasc_p50,Sentinel-1
RF_rank_only,20,20,16,L89_dry_SWIR2,Landsat 8/9
RF_rank_only,20,20,17,S2_dry_NBR2,Sentinel-2
RF_rank_only,20,20,18,S2_dry_B12,Sentinel-2
RF_rank_only,20,20,19,S2_wet_GNDVI,Sentinel-2
RF_rank_only,20,20,20,L89_dry_NBR,Landsat 8/9
RF_rank_only,25,25,1,S2_dry_CVI,Sentinel-2
RF_rank_only,25,25,2,DEM_elevation,DEM
RF_rank_only,25,25,3,S2_dry_MNDWI,Sentinel-2
RF_rank_only,25,25,4,S1_VHasc_p50,Sentinel-1
RF_rank_only,25,25,5,S2_dry_B11,Sentinel-2
RF_rank_only,25,25,6,L89_dry_Red,Landsat 8/9
RF_rank_only,25,25,7,S2_wet_NBR2,Sentinel-2
RF_rank_only,25,25,8,L89_dry_SWIR2_p75,Landsat 8/9
RF_rank_only,25,25,9,L89_dry_SWIR1,Landsat 8/9
RF_rank_only,25,25,10,S2_dry_B2,Sentinel-2
RF_rank_only,25,25,11,L89_dry_Blue,Landsat 8/9
RF_rank_only,25,25,12,L89_dry_Green,Landsat 8/9
RF_rank_only,25,25,13,L89_dry_NBR2,Landsat 8/9
RF_rank_only,25,25,14,S2_dry_B3,Sentinel-2
RF_rank_only,25,25,15,S1_VVasc_p50,Sentinel-1
RF_rank_only,25,25,16,L89_dry_SWIR2,Landsat 8/9
RF_rank_only,25,25,17,S2_dry_NBR2,Sentinel-2
