config_no,config_name,fold,n_train,n_test,n_candidate_features,n_selected_features,OA,Kappa,MacroF1,CoffeeBinaryF1,CoffeeSubclassMacroF1
1,Sentinel-2 only,1,2400,600,52,25,0.925,0.9166666666666666,0.9246998573158605,0.9385474860335196,0.8532520325203251
1,Sentinel-2 only,2,2400,600,52,25,0.9333333333333333,0.9259259259259259,0.9315621158825145,0.9686609686609686,0.8447679334200872
1,Sentinel-2 only,3,2400,600,52,25,0.92,0.9111111111111111,0.9199155473889927,0.9476584022038568,0.8636308851224106
1,Sentinel-2 only,4,2400,600,52,25,0.9366666666666666,0.9296296296296296,0.936320096513039,0.969187675070028,0.8789173789173789
1,Sentinel-2 only,5,2400,600,52,25,0.9116666666666666,0.9018518518518519,0.9094154200723809,0.9558011049723757,0.8159908566885311
2,Sentinel-1 only,1,2400,600,15,13,0.6416666666666667,0.6018518518518519,0.630678408977761,0.6831955922865014,0.4933731712723512
2,Sentinel-1 only,2,2400,600,15,13,0.63,0.5888888888888889,0.6307574825474493,0.6318681318681318,0.4700816518998337
2,Sentinel-1 only,3,2400,600,15,13,0.6666666666666666,0.6296296296296295,0.6634108629982732,0.7228260869565217,0.5709790639267617
2,Sentinel-1 only,4,2400,600,15,13,0.66,0.6222222222222222,0.660231068426161,0.6836158192090396,0.5343884445364361
2,Sentinel-1 only,5,2400,600,15,13,0.6583333333333333,0.6203703703703703,0.6571446475137861,0.6972972972972973,0.5044977511244378
3,Landsat only,1,2400,600,26,16,0.9183333333333333,0.9092592592592593,0.917879459662473,0.9536784741144414,0.8764354479006119
3,Landsat only,2,2400,600,26,18,0.91,0.9,0.9092060370853774,0.9352112676056338,0.8756638027280229
3,Landsat only,3,2400,600,26,17,0.9333333333333333,0.9259259259259259,0.9335264236833728,0.959349593495935,0.894129086716568
3,Landsat only,4,2400,600,26,17,0.9316666666666666,0.924074074074074,0.9309973223744568,0.957983193277311,0.894282855220968
3,Landsat only,5,2400,600,26,16,0.9266666666666666,0.9185185185185185,0.9259989560043372,0.9611111111111111,0.8696439413652529
