config_no,config_name,feature,selected_in_n_folds,mean_rank_after_filter,min_rank_after_filter,max_rank_after_filter
1,Sentinel-2 only,S2_dry_CVI,5,1.0,1,1
1,Sentinel-2 only,S2_dry_MNDWI,5,2.2,2,3
1,Sentinel-2 only,S2_wet_NBR2,5,2.8,2,3
1,Sentinel-2 only,S2_dry_B2,5,4.4,4,5
1,Sentinel-2 only,S2_dry_NBR2,5,5.6,4,6
1,Sentinel-2 only,S2_wet_B12,5,8.0,7,10
1,Sentinel-2 only,S2_dry_NDI,5,8.8,8,10
1,Sentinel-2 only,S2_dry_B5,5,11.8,11,13
1,Sentinel-2 only,S2_dry_NDMI,5,12.8,12,14
1,Sentinel-2 only,S2_dry_MTCI,5,15.0,13,16
1,Sentinel-2 only,S2_dry_PSRI,5,15.2,14,18
1,Sentinel-2 only,S2_wet_B11,5,16.6,15,18
1,Sentinel-2 only,S2_wet_CVI,5,17.6,16,20
1,Sentinel-2 only,S2_wet_MTCI,5,21.4,20,22
1,Sentinel-2 only,S2_wet_NDMI,5,22.8,21,24
1,Sentinel-2 only,S2_wet_B5,5,23.0,21,24
1,Sentinel-2 only,S2_dry_B8,4,8.25,7,10
1,Sentinel-2 only,S2_wet_B6,4,16.75,15,19
1,Sentinel-2 only,S2_wet_B3,4,19.0,19,19
1,Sentinel-2 only,S2_wet_NLI,4,19.5,17,21
1,Sentinel-2 only,S2_wet_NDI,4,23.5,22,25
1,Sentinel-2 only,S2_wet_B4,4,25.0,25,25
1,Sentinel-2 only,S2_dry_B11,3,5.333333333333333,5,6
1,Sentinel-2 only,S2_dry_NDWI,3,9.333333333333334,9,10
1,Sentinel-2 only,S2_dry_NLI,3,10.0,8,11
1,Sentinel-2 only,S2_dry_B12,2,4.5,4,5
1,Sentinel-2 only,S2_dry_SR,2,13.0,12,14
1,Sentinel-2 only,S2_dry_RDVI,1,7.0,7,7
1,Sentinel-2 only,S2_dry_B6,1,10.0,10,10
1,Sentinel-2 only,S2_dry_GNDVI,1,11.0,11,11
1,Sentinel-2 only,S2_wet_NDWI,1,13.0,13,13
1,Sentinel-2 only,S2_wet_B8,1,18.0,18,18
1,Sentinel-2 only,S2_wet_B2,1,20.0,20,20
1,Sentinel-2 only,S2_wet_NDVI_RE,1,21.0,21,21
1,Sentinel-2 only,S2_wet_SR,1,23.0,23,23
2,Sentinel-1 only,S1_VHasc_p50,5,1.0,1,1
2,Sentinel-1 only,S1_VVasc_p50,5,2.0,2,2
2,Sentinel-1 only,S1_VVminusVH_asc_p50,5,3.4,3,4
2,Sentinel-1 only,S1_VH_glcm_contrast_5x5,5,3.6,3,4
2,Sentinel-1 only,S1_VHdesc_p50,5,5.4,5,6
2,Sentinel-1 only,S1_VVdesc_p25,5,6.4,5,7
2,Sentinel-1 only,S1_VHdesc_p25,5,7.8,7,8
2,Sentinel-1 only,S1_VHdesc_p75,5,9.4,9,10
2,Sentinel-1 only,S1_VVminusVH_desc_p50,5,11.8,11,13
2,Sentinel-1 only,S1_VHdesc_std,5,12.0,11,13
