config_no,config_name,fold,rank_after_filter,feature
1,Sentinel-2 only,1,1,S2_dry_CVI
1,Sentinel-2 only,1,2,S2_dry_MNDWI
1,Sentinel-2 only,1,3,S2_wet_NBR2
1,Sentinel-2 only,1,4,S2_dry_NBR2
1,Sentinel-2 only,1,5,S2_dry_B2
1,Sentinel-2 only,1,6,S2_dry_B11
1,Sentinel-2 only,1,7,S2_wet_B12
1,Sentinel-2 only,1,8,S2_dry_B8
1,Sentinel-2 only,1,9,S2_dry_NDWI
1,Sentinel-2 only,1,10,S2_dry_NDI
1,Sentinel-2 only,1,11,S2_dry_NLI
1,Sentinel-2 only,1,12,S2_dry_B5
1,Sentinel-2 only,1,13,S2_dry_NDMI
1,Sentinel-2 only,1,14,S2_dry_PSRI
1,Sentinel-2 only,1,15,S2_wet_B11
1,Sentinel-2 only,1,16,S2_dry_MTCI
1,Sentinel-2 only,1,17,S2_wet_NLI
1,Sentinel-2 only,1,18,S2_wet_CVI
1,Sentinel-2 only,1,19,S2_wet_B6
1,Sentinel-2 only,1,20,S2_wet_B2
1,Sentinel-2 only,1,21,S2_wet_B5
1,Sentinel-2 only,1,22,S2_wet_MTCI
1,Sentinel-2 only,1,23,S2_wet_NDMI
1,Sentinel-2 only,1,24,S2_wet_NDI
1,Sentinel-2 only,1,25,S2_wet_B4
1,Sentinel-2 only,2,1,S2_dry_CVI
1,Sentinel-2 only,2,2,S2_dry_MNDWI
1,Sentinel-2 only,2,3,S2_wet_NBR2
1,Sentinel-2 only,2,4,S2_dry_B2
1,Sentinel-2 only,2,5,S2_dry_B11
1,Sentinel-2 only,2,6,S2_dry_NBR2
1,Sentinel-2 only,2,7,S2_wet_B12
1,Sentinel-2 only,2,8,S2_dry_B8
1,Sentinel-2 only,2,9,S2_dry_NDI
1,Sentinel-2 only,2,10,S2_dry_NDWI
1,Sentinel-2 only,2,11,S2_dry_NLI
1,Sentinel-2 only,2,12,S2_dry_B5
1,Sentinel-2 only,2,13,S2_dry_MTCI
1,Sentinel-2 only,2,14,S2_dry_NDMI
1,Sentinel-2 only,2,15,S2_dry_PSRI
1,Sentinel-2 only,2,16,S2_wet_B6
1,Sentinel-2 only,2,17,S2_wet_CVI
1,Sentinel-2 only,2,18,S2_wet_B11
1,Sentinel-2 only,2,19,S2_wet_B3
1,Sentinel-2 only,2,20,S2_wet_NLI
1,Sentinel-2 only,2,21,S2_wet_NDMI
1,Sentinel-2 only,2,22,S2_wet_MTCI
1,Sentinel-2 only,2,23,S2_wet_SR
1,Sentinel-2 only,2,24,S2_wet_B5
1,Sentinel-2 only,2,25,S2_wet_NDI
1,Sentinel-2 only,3,1,S2_dry_CVI
1,Sentinel-2 only,3,2,S2_wet_NBR2
1,Sentinel-2 only,3,3,S2_dry_MNDWI
1,Sentinel-2 only,3,4,S2_dry_B2
1,Sentinel-2 only,3,5,S2_dry_B11
1,Sentinel-2 only,3,6,S2_dry_NBR2
1,Sentinel-2 only,3,7,S2_wet_B12
1,Sentinel-2 only,3,8,S2_dry_NLI
1,Sentinel-2 only,3,9,S2_dry_NDI
1,Sentinel-2 only,3,10,S2_dry_B8
