No,Predictor configuration,Mean selected predictors,OA (%),Kappa,Macro F1,Coffee binary F1,Coffee subclass macro F1
1,Sentinel-2 only,25.0,92.53 ± 1.01,0.917 ± 0.011,0.924 ± 0.010,0.956 ± 0.013,0.851 ± 0.023
2,Sentinel-1 only,13.0,65.13 ± 1.51,0.613 ± 0.017,0.648 ± 0.016,0.684 ± 0.033,0.515 ± 0.039
3,Landsat only,16.8,92.40 ± 0.98,0.916 ± 0.011,0.924 ± 0.010,0.953 ± 0.011,0.882 ± 0.011
4,Sentinel-1 + Sentinel-2,25.0,92.93 ± 1.18,0.921 ± 0.013,0.928 ± 0.012,0.961 ± 0.008,0.847 ± 0.032
5,Sentinel-2 + Landsat,25.0,93.97 ± 0.92,0.933 ± 0.010,0.939 ± 0.010,0.969 ± 0.007,0.874 ± 0.027
6,Sentinel-1 + Sentinel-2 + DEM,25.0,95.03 ± 0.89,0.945 ± 0.010,0.950 ± 0.009,0.968 ± 0.007,0.893 ± 0.022
7,Sentinel-1 + Landsat + DEM,25.0,94.50 ± 1.36,0.939 ± 0.015,0.945 ± 0.014,0.963 ± 0.009,0.901 ± 0.024
8,Sentinel-2 + Landsat + DEM,25.0,95.50 ± 1.03,0.950 ± 0.011,0.955 ± 0.011,0.974 ± 0.003,0.908 ± 0.030
9,Sentinel-1 + Sentinel-2 + Landsat,25.0,94.13 ± 1.45,0.935 ± 0.016,0.941 ± 0.015,0.969 ± 0.008,0.875 ± 0.038
10,Sentinel-1 + Sentinel-2 + Landsat + DEM,25.0,95.90 ± 1.13,0.954 ± 0.013,0.959 ± 0.012,0.976 ± 0.005,0.909 ± 0.033
