Class ID,Class,Validation samples,Producer's accuracy (%),Producer's accuracy 95% CI lower (%),Producer's accuracy 95% CI upper (%),User's accuracy (%),User's accuracy 95% CI lower (%),User's accuracy 95% CI upper (%),F1-score
1,Sun coffee,90,80.0,70.6,87.0,88.9,80.2,94.0,0.842
2,Intercrop coffee,90,92.2,84.8,96.2,83.8,75.3,89.8,0.878
3,Newly planted coffee,90,96.7,90.7,98.9,97.8,92.2,99.4,0.972
4,Rubber,90,91.1,83.4,95.4,98.8,93.5,99.8,0.948
5,Partially vegetative,90,96.7,90.7,98.9,92.6,85.4,96.3,0.946
6,Rice,90,91.1,83.4,95.4,100.0,95.5,100.0,0.953
7,Other upland crops,90,95.6,89.1,98.3,94.5,87.8,97.6,0.95
8,Forest,90,97.8,92.3,99.4,90.7,83.3,95.0,0.941
9,Water,90,96.7,90.7,98.9,95.6,89.2,98.3,0.961
10,Built,90,96.7,90.7,98.9,93.5,86.6,97.0,0.951
