class_id,class_name,land_cover_group,area_ha,share_of_mapped_area_percent,share_within_coffee_area_percent
1,Sun coffee,Coffee,168126.6589086855,12.904343080758723,73.83019146676175
2,Intercrop coffee,Coffee,49379.48908004801,3.790058473639245,21.684229954815795
3,Newly planted coffee,Coffee,10214.59276591546,0.7840077851853379,4.485578578422452
4,Rubber,Non-coffee,21315.346223660214,1.63603168195152,
5,Partially vegetative,Non-coffee,185967.22421454728,14.273672471801705,
6,Rice,Non-coffee,78547.46260377266,6.028808352830385,
7,Other upland crops,Non-coffee,166205.04622591657,12.756852198065005,
8,Forest,Non-coffee,511561.9806842346,39.26427461695547,
9,Water,Non-coffee,34454.957283671625,2.644545442747843,
10,Built,Non-coffee,77096.03476021577,5.91740589606476,
