Class ID,Class,Coffee subtype,Mapped area (ha),Mapped area (%),Adjusted area (ha),Adjusted area 95% CI half-width (± ha),Adj. area (%),Bias (ha),Bias (%),Adjusted area lower 95% CI (ha),Adjusted area upper 95% CI (ha)
1,Sun coffee,Coffee,168127,12.9,167974,18934,12.89,-153,-0.1,149040.0,186908.0
2,Intercrop coffee,Coffee,49379,3.79,57211,14100,4.39,7832,15.9,43111.0,71311.0
3,Newly planted coffee,Coffee,10215,0.78,14868,5859,1.14,4653,45.6,9009.0,20727.0
4,Rubber,—,21315,1.64,50359,21857,3.87,29044,136.3,28502.0,72216.0
5,Partially vegetative,—,185967,14.27,174424,10729,13.39,-11543,-6.2,163695.0,185153.0
6,Rice,—,78547,6.03,87721,6954,6.73,9174,11.7,80767.0,94675.0
7,Other upland crops,—,166205,12.76,171577,17391,13.17,5372,3.2,154186.0,188968.0
8,Forest,—,511562,39.26,468054,30187,35.92,-43508,-8.5,437867.0,498241.0
9,Water,—,34455,2.64,37422,5488,2.87,2967,8.6,31934.0,42910.0
10,Built,—,77096,5.92,73258,4074,5.62,-3838,-5.0,69184.0,77332.0
—,TOTAL,—,1302869,100.0,1302869,—,100.0,0,0.0,,
