feature,vif
S2_dry_SR,9.135634093063926
S2_dry_CVI,8.73250290891558
S1_VHdesc_p50,7.906026104210545
S2_wet_B6,7.848570013190993
S2_dry_B2,7.819755212357035
L89_dry_NIR,7.495862034116023
S2_dry_NDMI,7.383970001237727
L89_wet_SWIR2_p75,7.1522221758914695
S1_VHdesc_p75,7.006441458863647
S2_wet_CVI,6.874131788432998
L89_dry_Blue,6.873458499098273
S2_wet_SR,6.84704007358724
S2_wet_B2,6.805211040469638
S2_wet_B5,6.580993264972807
L89_wet_NDMI,6.397237083406735
L89_wet_MSI,5.455513015802601
L89_wet_NIR,5.181988151892317
S2_wet_NDMI,4.9588370413718845
S1_VVasc_p50,4.442368099108575
S1_VVdesc_p50,3.710325260956839
S1_VH_glcm_asm_5x5,3.687040189940327
S2_dry_PSRI,3.625798975155617
L89_wet_Blue,3.3925269360459356
S2_dry_MTCI,2.3452782586800582
DEM_hillshade,2.2918841979529034
DEM_elevation,2.2306093505391877
S1_VH_glcm_contrast_5x5,2.0472094793073574
S2_wet_MTCI,2.0303815347626704
S1_VVminusVH_asc_p50,2.024862663819895
S1_VHdesc_std,1.8842397195568987
DEM_slope,1.5974853607279567
DEM_aspect,1.4961967240015484
S1_VVdesc_std,1.251511022656784
S2_wet_PSRI,1.1068336558759966
