step,n_features_before,removed_feature,max_vif
1,97,S1_VHasc_p50,1000022122209.5028
2,96,S2_dry_GNDVI,1000022122209.5028
3,95,S1_VVminusVH_desc_p50,1000022122209.5028
4,94,S2_wet_NDWI,1000022122209.5028
5,93,S2_dry_MSR,3741.2674268671108
6,92,S2_wet_MSR,1799.4781080583903
7,91,S2_dry_NDVI,595.8931691519748
8,90,S1_VHdesc_p25,552.318314224677
9,89,S1_VVdesc_p25,519.90564879261
10,88,S2_dry_NBR,488.19566936078974
11,87,L89_dry_NBR,462.87090974640097
12,86,S2_dry_RDVI,413.08201467199643
13,85,S2_wet_NDVI,336.44259596478156
14,84,S2_dry_NDWI,315.1336357433876
15,83,L89_wet_NBR,286.0059650554268
16,82,L89_dry_SWIR2,208.73526753333675
17,81,S2_dry_B7,192.6347844728434
18,80,S2_wet_RDVI,186.93264214147982
19,79,S2_wet_NBR,175.80870076343464
20,78,S2_dry_B11,168.44560465854295
21,77,S2_dry_NLI,165.79784843093233
22,76,L89_dry_BSI,149.8328251545848
23,75,S2_wet_GNDVI,144.6574142618634
24,74,S2_dry_NDVI_RE,141.38921024241333
25,73,L89_dry_Red,141.10720491919687
26,72,S2_dry_B4,116.74209351368658
27,71,S2_wet_B7,114.02057768652683
28,70,S2_dry_B3,92.78843220002582
29,69,S2_wet_CI_RE,91.97220178530853
30,68,L89_wet_SWIR2,80.36788580483554
31,67,L89_dry_SWIR1,78.78800957037272
32,66,S2_dry_CI_RE,69.68094957654459
33,65,S2_wet_NLI,64.7220141161486
34,64,S2_dry_B8,58.6053853534927
35,63,L89_wet_BSI,57.44947918631311
36,62,S1_VH_glcm_ent_5x5,53.69778896123987
37,61,S2_dry_NDI,52.83349212266344
38,60,L89_dry_Green,47.59808370249592
39,59,S2_wet_B12,47.0103230015665
40,58,S2_dry_B12,44.08189812391514
41,57,S2_wet_B8,41.72521431791911
42,56,L89_dry_NBR2,40.363975761898224
43,55,S2_wet_B3,39.58145116416697
44,54,S2_dry_MNDWI,39.355962240275396
45,53,S2_wet_NDVI_RE,38.96194342972261
46,52,L89_wet_Red,37.64336183090789
47,51,L89_dry_NDVI,31.922507936295
48,50,L89_wet_SWIR1,29.63926065786693
49,49,S2_wet_B4,27.682943993723207
50,48,S2_wet_MNDWI,25.140601362525107
51,47,S2_dry_B5,24.04486538456591
52,46,S2_dry_NBR2,20.281263457729086
53,45,L89_dry_NDMI,18.567495842220822
54,44,L89_wet_NDVI,17.855777433425875
55,43,S2_wet_NDI,16.29811872940777
56,42,S2_dry_B6,15.247393069306069
57,41,L89_dry_SWIR2_p75,14.47649264141446
58,40,L89_wet_NBR2,14.183570285290719
59,39,S2_wet_B11,12.60432628119541
60,38,L89_wet_Green,12.051589265334163
61,37,L89_dry_MSI,11.23363204045603
62,36,S1_VVdesc_p75,10.926152435431403
63,35,S2_wet_NBR2,10.665165390537073
64,34,,9.135634093063926
